PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
645306919126144,2020,35.376488,-119.020011,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558628010126144,2019,35.376656,-115.527501,5100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558628039126144,2019,35.376671,-115.839087,3700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558628066126144,2019,35.377633,-117.151663,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816996489998,2018,35.378951,-118.793962,1500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558628065126144,2019,35.382429,-116.859159,3300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627071126144,2019,35.382551,-120.139043,1900.0,79,25.0,27.6284,41.15,0.0,0.0,14.71
645306940126144,2020,35.387024,-118.009647,2900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220819489998,2017,35.387073,-116.920329,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221632489998,2017,35.38841,-119.405041,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412221390489998,2017,35.39007,-115.308827,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221748489998,2017,35.391704,-119.82622,2500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627039126144,2019,35.393319,-120.064296,2100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627343126144,2019,35.393553,-119.055404,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627286126144,2019,35.394018,-119.791405,1300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306941126144,2020,35.394687,-117.707849,2700.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816712489998,2018,35.395568,-120.682611,2100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627952126144,2019,35.395893,-116.570765,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221328489998,2017,35.396582,-116.627866,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306932126144,2020,35.396643,-118.701977,2300.0,29,30.0,9.7102,24.0,0.0,0.0,12.81
484817627489998,2018,35.396881,-117.591837,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220461489998,2017,35.397464,-119.110332,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220060489998,2017,35.397747,-115.74426,3900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816962489998,2018,35.399339,-118.510304,3500.0,29,30.0,108.6897,43.90909090909091,74.965282,0.0,23.9
558627890126144,2019,35.399526,-115.278816,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306929126144,2020,35.400261,-120.770446,1500.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484816728489998,2018,35.40069,-120.410506,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306917126144,2020,35.402263,-120.648431,1500.0,79,0.0,0.0,0.0,0.0,0.0,0.0
